lifetime, velocity, clife, cof, face, fripscore
1500.0,3,10.0,150.0,0.7,0.00715465
166.0,0.33,10.0,150.0,0.7,0.04338973
166.0,1,10.0,150.0,0.7,0.01315942
166.0,3,10.0,150.0,0.7,0.00967994
500.0,0.33,10.0,150.0,0.7,0.05654481
500.0,1,10.0,150.0,0.7,0.01355712
500.0,3,10.0,150.0,0.7,0.01060512
1500.0,0.33,10.0,3.0,0.7,0.06200173
1500.0,1,10.0,3.0,0.7,0.01210285
1500.0,3,10.0,3.0,0.7,0.00748365
166.0,0.33,10.0,3.0,0.7,0.04328668
166.0,1,10.0,3.0,0.7,0.01271857
166.0,3,10.0,3.0,0.7,0.0102609
500.0,0.33,10.0,3.0,0.7,0.05640032
500.0,1,10.0,3.0,0.7,0.01306291
500.0,3,10.0,3.0,0.7,0.01098366
1500.0,0.33,1500.0,1.0,0.7,0.06222173
1500.0,1,1500.0,1.0,0.7,0.01337763
1500.0,3,1500.0,1.0,0.7,0.0166879
166.0,0.33,1500.0,1.0,0.7,0.04372505
166.0,1,1500.0,1.0,0.7,0.01317157
166.0,3,1500.0,1.0,0.7,0.01041683
500.0,0.33,1500.0,1.0,0.7,0.0556519
500.0,1,1500.0,1.0,0.7,0.01308055
500.0,3,1500.0,1.0,0.7,0.0093761
1500.0,0.33,1500.0,150.0,0.7,0.06166874
1500.0,1,1500.0,150.0,0.7,0.01410152
1500.0,3,1500.0,150.0,0.7,0.01252235
166.0,0.33,1500.0,150.0,0.7,0.04331108
166.0,1,1500.0,150.0,0.7,0.01348541
166.0,3,1500.0,150.0,0.7,0.01040194
500.0,0.33,1500.0,150.0,0.7,0.05660457
500.0,1,1500.0,150.0,0.7,0.01317173
500.0,3,1500.0,150.0,0.7,0.00781591
1500.0,0.33,1500.0,3.0,0.7,0.06100086
1500.0,1,1500.0,3.0,0.7,0.01122284
1500.0,3,1500.0,3.0,0.7,0.01010125
166.0,0.33,1500.0,3.0,0.7,0.04328778
166.0,1,1500.0,3.0,0.7,0.01313095
166.0,3,1500.0,3.0,0.7,0.01083727
500.0,0.33,1500.0,3.0,0.7,0.05676942
500.0,1,1500.0,3.0,0.7,0.01301377
500.0,3,1500.0,3.0,0.7,0.00856341
1500.0,0.33,30.0,1.0,0.7,0.05935784
1500.0,1,30.0,1.0,0.7,0.01170316
1500.0,3,30.0,1.0,0.7,0.00936912
166.0,0.33,30.0,1.0,0.7,0.04309341
166.0,1,30.0,1.0,0.7,0.01340324
166.0,3,30.0,1.0,0.7,0.0098494
500.0,0.33,30.0,1.0,0.7,0.0562082
500.0,1,30.0,1.0,0.7,0.01231935
500.0,3,30.0,1.0,0.7,0.0096729
1500.0,0.33,30.0,150.0,0.7,0.06155189
1500.0,1,30.0,150.0,0.7,0.01103473
1500.0,3,30.0,150.0,0.7,0.01287964
166.0,0.33,30.0,150.0,0.7,0.04300889
166.0,1,30.0,150.0,0.7,0.01298407
166.0,3,30.0,150.0,0.7,0.01001203
500.0,0.33,30.0,150.0,0.7,0.05688859
500.0,1,30.0,150.0,0.7,0.01224413
500.0,3,30.0,150.0,0.7,0.01100246
1500.0,0.33,30.0,3.0,0.7,0.06216857
1500.0,1,30.0,3.0,0.7,0.01348438
1500.0,3,30.0,3.0,0.7,0.01374562
166.0,0.33,30.0,3.0,0.7,0.04298793
166.0,1,30.0,3.0,0.7,0.01331381
166.0,3,30.0,3.0,0.7,0.01032745
500.0,0.33,30.0,3.0,0.7,0.05605992
500.0,1,30.0,3.0,0.7,0.01225105
500.0,3,30.0,3.0,0.7,0.01025509
1500.0,0.33,10.0,1.0,0.8,0.15048416
1500.0,1,10.0,1.0,0.8,0.01493946
1500.0,3,10.0,1.0,0.8,0.02376851
166.0,0.33,10.0,1.0,0.8,0.06663364
166.0,1,10.0,1.0,0.8,0.01544305
166.0,3,10.0,1.0,0.8,0.01164613
500.0,0.33,10.0,1.0,0.8,0.115092
500.0,1,10.0,1.0,0.8,0.01537205
500.0,3,10.0,1.0,0.8,0.0097178
1500.0,0.33,10.0,150.0,0.8,0.15326713
1500.0,1,10.0,150.0,0.8,0.01285017
1500.0,3,10.0,150.0,0.8,0.01982379
166.0,0.33,10.0,150.0,0.8,0.06563924
166.0,1,10.0,150.0,0.8,0.0160023
166.0,3,10.0,150.0,0.8,0.00996781
500.0,0.33,10.0,150.0,0.8,0.11572223
500.0,1,10.0,150.0,0.8,0.01587021
500.0,3,10.0,150.0,0.8,0.00837783
1500.0,0.33,10.0,3.0,0.8,0.15306802
1500.0,1,10.0,3.0,0.8,0.01293045
1500.0,3,10.0,3.0,0.8,0.01771258
166.0,0.33,10.0,3.0,0.8,0.06730042
166.0,1,10.0,3.0,0.8,0.01636544
166.0,3,10.0,3.0,0.8,0.01037422
500.0,0.33,10.0,3.0,0.8,0.1155939
500.0,1,10.0,3.0,0.8,0.01634933
500.0,3,10.0,3.0,0.8,0.01213769
1500.0,0.33,1500.0,1.0,0.8,0.1500562
1500.0,1,1500.0,1.0,0.8,0.01615005
1500.0,3,1500.0,1.0,0.8,0.01473085
166.0,0.33,1500.0,1.0,0.8,0.0672233
166.0,1,1500.0,1.0,0.8,0.01573186
166.0,3,1500.0,1.0,0.8,0.01202614
500.0,0.33,1500.0,1.0,0.8,0.11362034
500.0,1,1500.0,1.0,0.8,0.01538961
500.0,3,1500.0,1.0,0.8,0.01115075
1500.0,0.33,1500.0,150.0,0.8,0.15373782
1500.0,1,1500.0,150.0,0.8,0.01865604
1500.0,3,1500.0,150.0,0.8,0.01065195
166.0,0.33,1500.0,150.0,0.8,0.06648336
166.0,1,1500.0,150.0,0.8,0.01542103
166.0,3,1500.0,150.0,0.8,0.011236
500.0,0.33,1500.0,150.0,0.8,0.1146244
500.0,1,1500.0,150.0,0.8,0.01668812
500.0,3,1500.0,150.0,0.8,0.01026743
1500.0,0.33,1500.0,3.0,0.8,0.14909749
1500.0,1,1500.0,3.0,0.8,0.01695505
