lifetime, velocity, clife, cof,sep, fripscore
1500.0,1,10.0,270.0,100,0.00913891
500.0,1,10.0,270.0,100,0.01141613
1000.0,1,10.0,2700.0,100,0.00962788
1500.0,1,10.0,2700.0,100,0.01327922
500.0,1,10.0,2700.0,100,0.01023036
1000.0,1,10.0,27000.0,100,0.00943252
1500.0,1,10.0,27000.0,100,0.01134753
500.0,1,10.0,27000.0,100,0.00991858
1000.0,1,10.0,3.0,100,0.02809885
1500.0,1,10.0,3.0,100,0.02613072
500.0,1,10.0,3.0,100,0.0251465
1000.0,1,10.0,30.0,100,0.01371273
1500.0,1,10.0,30.0,100,0.01262442
500.0,1,10.0,30.0,100,0.01404417
1000.0,1,10.0,300.0,100,0.00848336
1500.0,1,10.0,300.0,100,0.00863235
500.0,1,10.0,300.0,100,0.01044106
1000.0,1,10.0,3000.0,100,0.01049823
1500.0,1,10.0,3000.0,100,0.00852824
500.0,1,10.0,3000.0,100,0.00952292
1000.0,1,10.0,33.0,100,0.01426718
1500.0,1,10.0,33.0,100,0.01587315
500.0,1,10.0,33.0,100,0.0124755
1000.0,1,10.0,333.0,100,0.01073028
1500.0,1,10.0,333.0,100,0.00913541
500.0,1,10.0,333.0,100,0.00919957
1000.0,1,10.0,3333.0,100,0.00881728
1500.0,1,10.0,3333.0,100,0.01105268
500.0,1,10.0,3333.0,100,0.00925917
1000.0,1,10.0,360.0,100,0.01051348
1500.0,1,10.0,360.0,100,0.00852471
500.0,1,10.0,360.0,100,0.01000092
1000.0,1,10.0,3600.0,100,0.00940752
1500.0,1,10.0,3600.0,100,0.00759862
500.0,1,10.0,3600.0,100,0.00998153
1000.0,1,10.0,36000.0,100,0.01037456
1500.0,1,10.0,36000.0,100,0.00799256
500.0,1,10.0,36000.0,100,0.00989842
1000.0,1,10.0,4.0,100,0.02368572
1500.0,1,10.0,4.0,100,0.0224384
500.0,1,10.0,4.0,100,0.02376448
1000.0,1,10.0,40.0,100,0.01274094
1500.0,1,10.0,40.0,100,0.01138722
500.0,1,10.0,40.0,100,0.01189717
1000.0,1,10.0,400.0,100,0.00861944
1500.0,1,10.0,400.0,100,0.00830411
500.0,1,10.0,400.0,100,0.0097412
1000.0,1,10.0,4000.0,100,0.01046753
1500.0,1,10.0,4000.0,100,0.0096204
500.0,1,10.0,4000.0,100,0.01022102
1000.0,1,10.0,40000.0,100,0.00986036
1500.0,1,10.0,40000.0,100,0.00775189
500.0,1,10.0,40000.0,100,0.0102734
1000.0,1,10.0,4286.0,100,0.01160826
1500.0,1,10.0,4286.0,100,0.01195949
500.0,1,10.0,4286.0,100,0.00953037
1000.0,1,10.0,429.0,100,0.01008545
1500.0,1,10.0,429.0,100,0.00725051
500.0,1,10.0,429.0,100,0.00881271
1000.0,1,10.0,43.0,100,0.01051458
1500.0,1,10.0,43.0,100,0.01243846
500.0,1,10.0,43.0,100,0.01228354
1000.0,1,10.0,44.0,100,0.011656
1500.0,1,10.0,44.0,100,0.01195252
500.0,1,10.0,44.0,100,0.01232498
1000.0,1,10.0,444.0,100,0.00922621
1500.0,1,10.0,444.0,100,0.01307884
500.0,1,10.0,444.0,100,0.01142196
1000.0,1,10.0,45.0,100,0.01146714
1500.0,1,10.0,45.0,100,0.01364341
500.0,1,10.0,45.0,100,0.01216007
1000.0,1,10.0,450.0,100,0.01041069
1500.0,1,10.0,450.0,100,0.00987962
500.0,1,10.0,450.0,100,0.01018949
1000.0,1,10.0,4500.0,100,0.00899297
1500.0,1,10.0,4500.0,100,0.00945042
500.0,1,10.0,4500.0,100,0.00899924
1000.0,1,10.0,45000.0,100,0.00745642
1500.0,1,10.0,45000.0,100,0.01236171
500.0,1,10.0,45000.0,100,0.01022404
1000.0,1,10.0,4667.0,100,0.00965466
1500.0,1,10.0,4667.0,100,0.00843929
500.0,1,10.0,4667.0,100,0.00943626
1000.0,1,10.0,467.0,100,0.00911109
1500.0,1,10.0,467.0,100,0.00858912
500.0,1,10.0,467.0,100,0.00896331
1000.0,1,10.0,47.0,100,0.01234686
1500.0,1,10.0,47.0,100,0.00993456
500.0,1,10.0,47.0,100,0.01246431
1000.0,1,10.0,5.0,100,0.02160882
1500.0,1,10.0,5.0,100,0.01953109
500.0,1,10.0,5.0,100,0.02244943
1000.0,1,10.0,50.0,100,0.01114213
1500.0,1,10.0,50.0,100,0.01114451
500.0,1,10.0,50.0,100,0.01150657
1000.0,1,10.0,500.0,100,0.00985405
1500.0,1,10.0,500.0,100,0.01263284
500.0,1,10.0,500.0,100,0.01100668
1000.0,1,10.0,5000.0,100,0.00801913
1500.0,1,10.0,5000.0,100,0.00808961
500.0,1,10.0,5000.0,100,0.00924485
1000.0,1,10.0,556.0,100,0.00840058
1500.0,1,10.0,556.0,100,0.00820954
500.0,1,10.0,556.0,100,0.0103682
1000.0,1,10.0,56.0,100,0.01130106
1500.0,1,10.0,56.0,100,0.01073272
500.0,1,10.0,56.0,100,0.01296923
1000.0,1,10.0,6.0,100,0.02186433
1500.0,1,10.0,6.0,100,0.02204631
500.0,1,10.0,6.0,100,0.0203123
1000.0,1,10.0,60.0,100,0.01190651
1500.0,1,10.0,60.0,100,0.01178777
500.0,1,10.0,60.0,100,0.01298598
1000.0,1,10.0,600.0,100,0.00925488
1500.0,1,10.0,600.0,100,0.00792525
500.0,1,10.0,600.0,100,0.00939511
1000.0,1,10.0,6000.0,100,0.00843987
1500.0,1,10.0,6000.0,100,0.01078565
500.0,1,10.0,6000.0,100,0.00940135
1000.0,1,10.0,6667.0,100,0.01196764
1500.0,1,10.0,6667.0,100,0.00926683
500.0,1,10.0,6667.0,100,0.00979811
1000.0,1,10.0,667.0,100,0.01217792
1500.0,1,10.0,667.0,100,0.00787611
500.0,1,10.0,667.0,100,0.01104372
1000.0,1,10.0,67.0,100,0.0097717
1500.0,1,10.0,67.0,100,0.01107544
500.0,1,10.0,67.0,100,0.0121157
1000.0,1,10.0,7.0,100,0.01831939
1500.0,1,10.0,7.0,100,0.0184325
500.0,1,10.0,7.0,100,0.02031638
1000.0,1,10.0,70.0,100,0.01141909
1500.0,1,10.0,70.0,100,0.01411159
500.0,1,10.0,70.0,100,0.0112481
1000.0,1,10.0,700.0,100,0.00979538
1500.0,1,10.0,700.0,100,0.00968441
500.0,1,10.0,700.0,100,0.00967765
1000.0,1,10.0,7000.0,100,0.0083624
1500.0,1,10.0,7000.0,100,0.00967696
500.0,1,10.0,7000.0,100,0.01066447
1000.0,1,10.0,75.0,100,0.01075908
1500.0,1,10.0,75.0,100,0.00960378
500.0,1,10.0,75.0,100,0.01152856
1000.0,1,10.0,750.0,100,0.01092062
1500.0,1,10.0,750.0,100,0.00791269
500.0,1,10.0,750.0,100,0.01071156
1000.0,1,10.0,7500.0,100,0.01091759
1500.0,1,10.0,7500.0,100,0.00797676
500.0,1,10.0,7500.0,100,0.00976565
1000.0,1,10.0,8.0,100,0.01874196
1500.0,1,10.0,8.0,100,0.01758085
500.0,1,10.0,8.0,100,0.02037016
1000.0,1,10.0,80.0,100,0.01119766
1500.0,1,10.0,80.0,100,0.01072722
500.0,1,10.0,80.0,100,0.01054052
1000.0,1,10.0,800.0,100,0.0094976
1500.0,1,10.0,800.0,100,0.01245028
500.0,1,10.0,800.0,100,0.00932963
1000.0,1,10.0,8000.0,100,0.01021086
1500.0,1,10.0,8000.0,100,0.00698762
500.0,1,10.0,8000.0,100,0.00940587
1000.0,1,10.0,857.0,100,0.01092255
1500.0,1,10.0,857.0,100,0.01032022
500.0,1,10.0,857.0,100,0.009396
1000.0,1,10.0,86.0,100,0.01146523
1500.0,1,10.0,86.0,100,0.01088416
500.0,1,10.0,86.0,100,0.01241401
1000.0,1,10.0,9.0,100,0.02211183
1500.0,1,10.0,9.0,100,0.02236157
500.0,1,10.0,9.0,100,0.01969861
1000.0,1,10.0,90.0,100,0.01117562
1500.0,1,10.0,90.0,100,0.00983034
500.0,1,10.0,90.0,100,0.01161162
1000.0,1,10.0,900.0,100,0.01271295
1500.0,1,10.0,900.0,100,0.00876413
500.0,1,10.0,900.0,100,0.00943887
1000.0,1,10.0,9000.0,100,0.00987069
1500.0,1,10.0,9000.0,100,0.006869
500.0,1,10.0,9000.0,100,0.00896763
1000.0,1,10.0,90000.0,100,0.0122357
1500.0,1,10.0,90000.0,100,0.01050119
500.0,1,10.0,90000.0,100,0.00832112
1000.0,1,10.0,93.0,100,0.01097311
1500.0,1,10.0,93.0,100,0.01065354
500.0,1,10.0,93.0,100,0.01068777
1000.0,1,10.0,933.0,100,0.00959137
1500.0,1,10.0,933.0,100,0.00893241
500.0,1,10.0,933.0,100,0.00947848
1000.0,1,10.0,9333.0,100,0.0077761
1500.0,1,10.0,9333.0,100,0.01033717
500.0,1,10.0,9333.0,100,0.01051325
1000.0,1,100.0,1.0,100,0.21014601
1500.0,1,100.0,1.0,100,0.20047223
500.0,1,100.0,1.0,100,0.19397934
1000.0,1,100.0,10.0,100,0.12384995
1500.0,1,100.0,10.0,100,0.12653958
500.0,1,100.0,10.0,100,0.11798276
1000.0,1,100.0,100.0,100,0.07559685
1500.0,1,100.0,100.0,100,0.07327331
500.0,1,100.0,100.0,100,0.07016715
1000.0,1,100.0,1000.0,100,0.02123595
1500.0,1,100.0,1000.0,100,0.02479501
500.0,1,100.0,1000.0,100,0.0196851
1000.0,1,100.0,10000.0,100,0.01108886
1500.0,1,100.0,10000.0,100,0.01266017
500.0,1,100.0,10000.0,100,0.01035021
1000.0,1,100.0,11.0,100,0.13371546
1500.0,1,100.0,11.0,100,0.13020983
500.0,1,100.0,11.0,100,0.12108502
1000.0,1,100.0,111.0,100,0.07469905
1500.0,1,100.0,111.0,100,0.074686
500.0,1,100.0,111.0,100,0.06730245
1000.0,1,100.0,1111.0,100,0.01660888
1500.0,1,100.0,1111.0,100,0.01859825
500.0,1,100.0,1111.0,100,0.02146066
1000.0,1,100.0,11667.0,100,0.01135013
1500.0,1,100.0,11667.0,100,0.00997571
500.0,1,100.0,11667.0,100,0.01102984
1000.0,1,100.0,1167.0,100,0.01788357
1500.0,1,100.0,1167.0,100,0.02187093
500.0,1,100.0,1167.0,100,0.0190345
1000.0,1,100.0,117.0,100,0.07065355
1500.0,1,100.0,117.0,100,0.06460177
500.0,1,100.0,117.0,100,0.06578895
1000.0,1,100.0,12.0,100,0.13126618
1500.0,1,100.0,12.0,100,0.12600985
500.0,1,100.0,12.0,100,0.12111811
1000.0,1,100.0,120.0,100,0.06723342
1500.0,1,100.0,120.0,100,0.07410088
500.0,1,100.0,120.0,100,0.06444893
1000.0,1,100.0,1200.0,100,0.01769399
1500.0,1,100.0,1200.0,100,0.02011569
500.0,1,100.0,1200.0,100,0.01862972
1000.0,1,100.0,12000.0,100,0.00905345
1500.0,1,100.0,12000.0,100,0.01022905
500.0,1,100.0,12000.0,100,0.01079152
1000.0,1,100.0,125.0,100,0.06549786
1500.0,1,100.0,125.0,100,0.06537898
500.0,1,100.0,125.0,100,0.06514646
1000.0,1,100.0,1250.0,100,0.01695036
1500.0,1,100.0,1250.0,100,0.02106644
500.0,1,100.0,1250.0,100,0.01903065
1000.0,1,100.0,1286.0,100,0.01915413
1500.0,1,100.0,1286.0,100,0.01855906
500.0,1,100.0,1286.0,100,0.02024389
