,clife,cof,life,vel,sep,vscore,std
54,11.43,4.9,5500.0,1,100,0.6907507578118619,0.046240711003844
55,1142.86,63.49,4500.0,1,100,0.5915006090820247,0.0645332242312356
56,11.43,4.9,500.0,1,100, nan, nan
57,2285.71,2285.71,500.0,1,100,0.3950895694760912,0.0682243075886753
58,11.43,1.27,500.0,1,100,0.4175375865442153,0.0642994482965443
59,11428.57,2857.14,5500.0,1,100,0.4473721337818374,0.0657256499981722
60,114.29,114.29,5500.0,1,100,0.6794446240720724,0.0447153568653474
61,22.86,22.86,3500.0,1,100,0.6650610725073623,0.0494136639697972
62,114.29,979.59,2500.0,1,100,0.6454316031906324,0.0584510267542937
63,22.86,2.54,3500.0,1,100,0.6660380313703841,0.049648265112143
64,2285.71,244.9,4500.0,1,100,0.5470599860527232,0.0638431071214953
65,57.14,14.28,5500.0,1,100,0.6863771609441394,0.0473946683712477
66,11428.57,571.43,5500.0,1,100,0.4385962979691473,0.0653167248291645
67,11.43,97.96,2500.0,1,100,0.6515098171393222,0.0523507649877155
68,1142.86,126.98,500.0,1,100,0.3806197383044933,0.0664848594870891
69,342.86,146.94,4500.0,1,100,0.6715737481123342,0.0540163701790921
70,571.43,380.95,1500.0,1,100,0.5298453684896688,0.0634804019220523
71,11428.57,4897.96,3500.0,1,100,0.4552618782596082,0.0625005539112436
72,571.43,63.49,3500.0,1,100,0.6211125883555167,0.0550981652087335
73,1142.86,57.14,3500.0,1,100,0.5548899470469764,0.070588779703658
74,114.29,12.7,2500.0,1,100,0.6291125061194748,0.0572976796914664
75,11.43,11.43,500.0,1,100,0.4312579601778225,0.0688131140096728
76,1142.86,489.8,1500.0,1,100,0.4789867381291495,0.065544889133839
77,571.43,4897.96,4500.0,1,100,0.6875493669802495,0.0489933409907737
78,22.86,5.71,4500.0,1,100,0.6825752192185489,0.0454327576472095
79,342.86,342.86,4500.0,1,100,0.6776951476856715,0.0503232873311796
80,1142.86,63.49,1500.0,1,100,0.463716739852642,0.0656253280809949
81,57.14,38.09,3500.0,1,100,0.6687415075509756,0.0509682156857806
82,57.14,9.8,5500.0,1,100,0.7038249842535705,0.0432094483341185
83,2285.71,979.59,1500.0,1,100,0.4584433183122111,0.067425188819088
84,2285.71,571.43,2500.0,1,100,0.4964753354754763,0.0639482885510709
85,2285.71,244.9,1500.0,1,100,0.4301838052624723,0.0663264260190955
86,57.14,24.49,3500.0,1,100,0.6686622639631679,0.0520839312656989
87,228.57,24.49,3500.0,1,100,0.6477835215326183,0.0563675744762609
88,3428.57,3428.57,5500.0,1,100,0.616871712066988,0.0611564906540424
89,2285.71,244.9,500.0,1,100, nan, nan
90,342.86,85.72,1500.0,1,100,0.5264549065279126,0.0620789351394908
91,22.86,1.27,3500.0,1,100,0.6706718834768938,0.0473168933007004
92,3428.57,1469.39,1500.0,1,100,0.4416448180779029,0.0634582364942426
93,228.57,228.57,3500.0,1,100,0.6593941282346782,0.0572511924042586
94,342.86,228.57,1500.0,1,100,0.5421035877905744,0.0616589238407235
95,1142.86,126.98,2500.0,1,100,0.5335698842382602,0.0623269273088125
96,571.43,142.86,2500.0,1,100,0.5757651559958554,0.0601592224368582
97,11428.57,1269.84,2500.0,1,100,0.4114016439545916,0.0673379126600787
98,228.57,12.7,2500.0,1,100,0.6087686559232567,0.0582096119264604
99,1142.86,761.91,1500.0,1,100,0.5008189993793117,0.0646276982359789
100,11.43,7.62,3500.0,1,100,0.6724925668377622,0.054230488318424
101,11428.57,7619.05,3500.0,1,100,0.4607225853406996,0.0660795869261494
102,22.86,15.24,4500.0,1,100,0.6837236626682226,0.0460065237031771
103,1142.86,285.71,4500.0,1,100,0.626545577095844,0.0579490515163737
104,228.57,97.96,5500.0,1,100,0.6788880168977082,0.0460158874591279
105,342.86,38.1,4500.0,1,100,0.6648898485425226,0.0509355892781335
106,571.43,857.14,2500.0,1,100,0.6245523355381497,0.05958902831798
107,57.14,489.8,500.0,1,100,0.423283795046303,0.0627615929002939
108,228.57,152.38,3500.0,1,100,0.6557116695020184,0.0539233522028529
109,22.86,9.8,3500.0,1,100,0.6722378804131364,0.052149215424856
110,342.86,38.09,5500.0,1,100,0.6772793954507925,0.0510785971076363
111,114.29,76.19,1500.0,1,100,0.5584482081099029,0.0637789079455278
112,57.14,489.8,1500.0,1,100,0.577857782728669,0.0596351371984686
113,11.43,11.43,5500.0,1,100,0.6963207844789515,0.0459979082556347
114,571.43,28.57,500.0,1,100,0.3946569322079671,0.0654570011154015
115,571.43,244.9,3500.0,1,100,0.6255465819225144,0.0620007771959183
116,11428.57,11428.57,1500.0,1,100,0.4504059284222821,0.0624390010291983
117,11.43,2.86,4500.0,1,100,0.6829743364525331,0.0493744556200293
118,114.29,5.71,3500.0,1,100,0.6686528039424363,0.052557173052819
119,57.14,228.57,2500.0,1,100,0.6379627480003306,0.0574434069273372
120,228.57,57.14,3500.0,1,100,0.6580346167364098,0.0532591611244586
121,2285.71,1523.81,4500.0,1,100,0.5961318899980638,0.060983725758394
122,57.14,57.14,3500.0,1,100,0.6740862959387709,0.0509654331078749
123,3428.57,380.95,5500.0,1,100,0.5351880558096663,0.0650608136126828
124,3428.57,2285.71,2500.0,1,100,0.5013239865303799,0.0652221481362711
125,114.29,48.98,2500.0,1,100,0.6355896064062406,0.0562907058289903
126,11428.57,571.43,500.0,1,100,0.3702530377436797,0.0668895113112972
127,2285.71,3428.57,2500.0,1,100,0.5595851174853389,0.0680727778000042
128,1142.86,489.8,3500.0,1,100,0.5893074120348667,0.0609347194820941
129,57.14,38.1,500.0,1,100,0.4210248402885762,0.0691721939379918
130,3428.57,857.14,4500.0,1,100,0.5318734037668137,0.0648537405533204
131,228.57,342.86,4500.0,1,100,0.6863633311370275,0.0481012496164894
132,571.43,2285.71,5500.0,1,100,0.6852403052493106,0.0444567072967682
133,114.29,6.35,5500.0,1,100,0.6871197071180766,0.0464652550534724
134,228.57,11.43,5500.0,1,100,0.679684266650959,0.049810630481392
135,571.43,380.95,3500.0,1,100,0.6319589222676705,0.0569471570604807
136,57.14,85.72,5500.0,1,100,0.6963539385567581,0.0468603911841876
137,3428.57,380.95,500.0,1,100,0.3788380517279306,0.0678423176641268
