life,vel,clife,cof,loopmean,loopstd
1500.0,1,1000.0,150.0,2141.8440875,2766.9074384113064
500.0,3,150000.0,0.15,282.6770544444444,76.08283262742178
1500.0,1,1.5,0.3,2946.141601351852,2930.6539796243887
500.0,3,5000.0,30.0,564.392081537037,1098.1576160157665
1500.0,3,50000.0,0.3,424.4963900925926,1008.0743700821612
1500.0,3,0.3,0.3,9173.274454407408,8396.172865547875
500.0,3,1500.0,1000.0,1734.7633279629629,2210.5118530880736
500.0,3,50.0,15.0,2743.2992808148147,2890.7685388097148
1500.0,1,0.3,1500.0,2999.6687890925928,2977.0551692211943
1500.0,3,1.5,500.0,7931.056409870371,7231.759633308318
500.0,3,0.5,5000.0,3074.1235154814813,3053.5226318519744
1500.0,3,0.5,1.5,9066.69277501852,8114.690111084393
500.0,1,0.15,50.0,999.635063462963,986.2533306206764
500.0,1,0.3,1.0,986.914464,994.7092041905942
500.0,3,1.5,1.0,2906.5515497222223,2898.542183384535
1500.0,1,500.0,5.0,2315.5570577777776,2883.8790997751184
1500.0,3,150.0,1.5,7472.122452833333,7544.133088137865
500.0,3,15000.0,10000.0,1315.778915574074,2005.0931707276925
1500.0,1,5000.0,30.0,992.6378085555556,1742.1416193958494
500.0,3,0.3,5.0,3085.9365229074074,3048.420613172289
500.0,1,50000.0,0.3,249.7022091851852,101.71343700300386
1500.0,3,15.0,5.0,8174.632754796296,7579.879018232988
1500.0,1,1.5,15.0,3045.7389778888887,3014.944749767275
500.0,1,1.5,5.0,1014.4056996851853,1041.6309663755992
1500.0,1,15000.0,5000.0,1117.982489351852,1669.3565996442428
500.0,1,0.5,15.0,1021.279747574074,1054.9110874267578
500.0,3,0.15,15000.0,2930.981412333333,2953.590399391093
500.0,1,150.0,0.15,487.0021125185185,591.0964202109847
1500.0,1,1.5,300.0,3056.750944851852,3106.2180194194752
1500.0,3,10.0,0.5,8557.447058444444,7868.059129770352
500.0,3,150000.0,0.3,285.1107993333333,102.29985721790776
500.0,1,1.5,5000.0,998.2607134444444,987.1043483774952
500.0,3,500.0,50000.0,3011.3128637592595,3023.5338635122107
500.0,1,1000.0,10000.0,937.380207925926,954.7937067252956
1500.0,3,3.0,1.5,8504.00199262963,7733.333405131128
500.0,1,1000.0,1500.0,788.9257360925926,843.3423215382695
500.0,1,1500.0,1.0,349.84469957407407,371.49793903962126
500.0,3,1000.0,300.0,1547.3954129074075,2159.4676187105847
1500.0,3,50.0,15000.0,8349.527299037038,7660.149992287028
500.0,1,1.0,1.0,996.3378365555556,996.7213632874216
1500.0,3,150.0,300.0,8901.214570203703,8213.273901971148
500.0,3,1.0,5.0,3084.765653629629,3030.174472399629
500.0,3,500.0,15.0,1534.2647654259258,2159.2333011837795
500.0,1,1000.0,0.5,372.48969566666665,443.5721794853844
500.0,1,10.0,1500.0,993.6040582592592,993.5008644609331
1500.0,1,1000.0,50000.0,2837.5878990925926,2805.9024016841063
500.0,3,1000.0,1500.0,2274.971641,2569.84594244668
500.0,1,0.15,5.0,1006.902820462963,1006.1450806630476
1500.0,1,0.5,50.0,2903.513683425926,2860.58167254074
1500.0,3,100.0,15.0,8494.198128222222,8040.170661210672
1500.0,1,5000.0,0.5,478.8481213888889,779.2204705382421
500.0,1,3.0,30.0,1007.4251309444444,1019.727208302061
500.0,1,1.5,50.0,1015.8345639444444,1028.4181244684078
500.0,1,500.0,50000.0,989.558768148148,1000.142412789006
1500.0,1,15000.0,1.5,409.72127603703706,655.2263020276395
1500.0,1,50.0,1500.0,2968.945166925926,2932.7339727091257
1500.0,3,3000.0,0.3,1856.484256888889,3844.6685710417114
1500.0,3,15.0,150.0,9346.630928685185,8428.20261478358
500.0,3,150000.0,50.0,294.5287192037037,208.8674283750874
500.0,3,0.15,300.0,3008.9345265185184,2931.4823460126604
500.0,1,3000.0,5.0,342.01705740740744,360.6533800336713
1500.0,1,3.0,5000.0,2993.852241574074,2929.708477649686
1500.0,1,0.5,10000.0,2985.462830666667,2953.81100968467
1500.0,3,50.0,1.0,8160.570336222222,7863.08053434147
1500.0,3,0.5,5.0,8782.108930962962,7914.762490729699
500.0,3,3.0,0.3,2968.7923567407406,3049.322539357433
500.0,3,10.0,10000.0,3031.786265351852,3037.6242098606167
500.0,1,0.15,0.15,990.9979511296297,982.5843197939648
500.0,1,1000.0,150.0,569.0763513333334,706.8886293644639
1500.0,1,300.0,1000.0,2931.237945814815,3009.911674479172
1500.0,1,0.5,1.0,2978.3667803333333,2985.9120760717187
500.0,1,150000.0,0.5,249.0494762037037,96.89913740420606
