life,vel,face,clife,cof,sep,loopmean,loopstd
500.0,3,0.1,15.0,15.0,500,1518.4848449444444,1247.997061278364
500.0,1,0.1,15.0,15.0,700,682.9887495238095,620.0240123711023
500.0,3,0.1,15.0,15.0,700,1589.873420793651,1263.978992565003
1500.0,0.33,0.1,1500.0,1.0,100,479.29881363333334,404.32160958109336
1500.0,1,0.1,1500.0,1.0,100,856.0258922,679.6534150773493
1500.0,3,0.1,1500.0,1.0,100,1447.5533460222223,1083.6750747971662
166.0,0.33,0.1,1500.0,1.0,100,97.66941534444445,93.89521704288205
166.0,1,0.1,1500.0,1.0,100,254.73690766666667,236.86248939008595
166.0,3,0.1,1500.0,1.0,100,590.0894946888889,514.1743820715016
500.0,0.33,0.1,1500.0,1.0,100,240.13259294444444,215.1141617439709
500.0,1,0.1,1500.0,1.0,100,536.3284044555555,459.4008424173474
500.0,3,0.1,1500.0,1.0,100,989.4206082222222,770.3729439389258
1500.0,0.33,0.1,1500.0,150.0,100,476.26214756666667,409.033559849852
1500.0,1,0.1,1500.0,150.0,100,852.6591523444445,688.7854399193451
1500.0,3,0.1,1500.0,150.0,100,1415.5024447888889,1075.2664542854989
166.0,0.33,0.1,1500.0,150.0,100,97.7199873888889,93.67056142871657
166.0,1,0.1,1500.0,150.0,100,255.37139276666667,234.21111602223198
166.0,3,0.1,1500.0,150.0,100,586.9184444,506.3018875057053
500.0,0.33,0.1,1500.0,150.0,100,237.9627835888889,216.143618085071
500.0,1,0.1,1500.0,150.0,100,533.0614652777778,453.2041078083505
500.0,3,0.1,1500.0,150.0,100,1025.8486610666666,828.2397919443196
1500.0,0.33,0.1,1500.0,3.0,100,464.94504524444443,388.2909410637241
1500.0,1,0.1,1500.0,3.0,100,869.1757483111111,688.710676784154
1500.0,3,0.1,1500.0,3.0,100,1433.7856472888889,1092.8116609259937
166.0,0.33,0.1,1500.0,3.0,100,97.22445598888889,92.71668722528484
166.0,1,0.1,1500.0,3.0,100,255.0860371888889,235.39702014519156
166.0,3,0.1,1500.0,3.0,100,592.3693832222223,515.40913805191
500.0,0.33,0.1,1500.0,3.0,100,241.08852163333333,218.64896415634476
500.0,1,0.1,1500.0,3.0,100,526.9783354222222,448.0480999854338
500.0,3,0.1,1500.0,3.0,100,1035.2331067777777,821.9251807383582
1500.0,0.33,0.1,30.0,1.0,100,475.3402307222222,401.68324600873126
1500.0,1,0.1,30.0,1.0,100,852.1639250222222,678.4323258888251
1500.0,3,0.1,30.0,1.0,100,1409.452924711111,1016.2339660617967
166.0,0.33,0.1,30.0,1.0,100,97.38419304444444,92.74860809302447
166.0,1,0.1,30.0,1.0,100,252.20350005555557,230.35230897514995
166.0,3,0.1,30.0,1.0,100,596.8565292111111,531.8733272057982
500.0,0.33,0.1,30.0,1.0,100,240.3112706111111,216.35427066672116
500.0,1,0.1,30.0,1.0,100,530.4088578666667,459.16802454209494
500.0,3,0.1,30.0,1.0,100,1021.8617309777778,819.3220507695721
1500.0,0.33,0.1,30.0,150.0,100,468.32158971111113,395.7364965609368
1500.0,1,0.1,30.0,150.0,100,846.1364060777778,667.3481356001141
1500.0,3,0.1,30.0,150.0,100,1420.3626062777778,1019.4418191868575
166.0,0.33,0.1,30.0,150.0,100,97.99854353333333,93.58800728637347
166.0,1,0.1,30.0,150.0,100,255.20882162222222,236.07451768644077
166.0,3,0.1,30.0,150.0,100,593.5801953111111,528.5921962615641
500.0,0.33,0.1,30.0,150.0,100,238.85283154444446,214.8858252752198
500.0,1,0.1,30.0,150.0,100,526.0956725555556,449.7546147673147
500.0,3,0.1,30.0,150.0,100,999.4133353111112,780.0484839249324
1500.0,0.33,0.1,30.0,3.0,100,469.4744983666667,395.37418642914906
1500.0,1,0.1,30.0,3.0,100,849.5628949111111,658.8338346948493
1500.0,3,0.1,30.0,3.0,100,1370.5547511333334,1032.9338406524705
166.0,0.33,0.1,30.0,3.0,100,97.52398103333333,92.71309036771608
166.0,1,0.1,30.0,3.0,100,252.62329705555555,231.05215954938882
166.0,3,0.1,30.0,3.0,100,597.8255891222223,524.0249877412872
500.0,0.33,0.1,30.0,3.0,100,240.93803416666665,218.0175510970056
500.0,1,0.1,30.0,3.0,100,527.3606801666666,452.8726739273366
500.0,3,0.1,30.0,3.0,100,1038.0586794444444,832.6688410195449
1500.0,1,0.2,15.0,15.0,1000,938.6021945555556,711.2161795016614
1500.0,3,0.2,15.0,15.0,1000,1860.369665888889,1391.7116561309676
1500.0,1,0.2,15.0,15.0,100,759.5320982666667,599.9496438583001
1500.0,3,0.2,15.0,15.0,100,1179.4227090222223,828.1171984002939
1500.0,1,0.2,15.0,15.0,200,905.7884125555555,739.5133762125356
1500.0,3,0.2,15.0,15.0,200,1480.5037528444445,1036.8952534933633
1500.0,1,0.2,15.0,15.0,300,946.8532664309764,738.6130436111044
1500.0,3,0.2,15.0,15.0,300,1642.0492086531985,1264.0724483364588
1500.0,1,0.2,15.0,15.0,400,975.7463998222222,755.8747582849178
1500.0,3,0.2,15.0,15.0,400,1518.9526968888888,1095.3893287986164
1500.0,1,0.2,15.0,15.0,500,919.5681702777778,724.2830730793434
1500.0,3,0.2,15.0,15.0,500,1602.4939517777777,1199.6320753827797
1500.0,1,0.2,15.0,15.0,700,1018.7590462698413,799.2152022314683
1500.0,3,0.2,15.0,15.0,700,1762.6704072222221,1352.5189270193248
500.0,1,0.2,15.0,15.0,1000,591.8659886666667,542.9849713494906
500.0,3,0.2,15.0,15.0,1000,1240.9134522222223,956.1177933978255
500.0,1,0.2,15.0,15.0,100,483.88472177777777,408.5285810984738
500.0,3,0.2,15.0,15.0,100,923.5230099222222,762.1260170365754
500.0,1,0.2,15.0,15.0,200,547.758456,476.8959600542364
500.0,3,0.2,15.0,15.0,200,1082.7254138666667,860.2249725529102
500.0,1,0.2,15.0,15.0,300,573.3267059259259,509.01721693293126
500.0,3,0.2,15.0,15.0,300,1188.2192506060605,971.939637659483
500.0,1,0.2,15.0,15.0,400,580.0982746222222,498.89572624089703
500.0,3,0.2,15.0,15.0,400,1220.9252215555555,994.4931598629014
500.0,1,0.2,15.0,15.0,500,580.6349061666666,499.6151671548961
500.0,3,0.2,15.0,15.0,500,1258.7166215,1035.9252935681388
