lifetime, velocity, separation, clife, cof, face, fripscore
500.0,1,100,10.0,1.0,0.7,0.01308922
500.0,3,100,10.0,1.0,0.7,0.01217851
1500.0,0.33,100,10.0,150.0,0.7,0.0627685
1500.0,1,100,10.0,150.0,0.7,0.01295063
1500.0,3,100,10.0,150.0,0.7,0.00715465
166.0,0.33,100,10.0,150.0,0.7,0.04338973
166.0,1,100,10.0,150.0,0.7,0.01315942
166.0,3,100,10.0,150.0,0.7,0.00967994
500.0,0.33,100,10.0,150.0,0.7,0.05654481
500.0,1,100,10.0,150.0,0.7,0.01355712
500.0,3,100,10.0,150.0,0.7,0.01060512
1500.0,0.33,100,10.0,3.0,0.7,0.06200173
1500.0,1,100,10.0,3.0,0.7,0.01210285
1500.0,3,100,10.0,3.0,0.7,0.00748365
166.0,0.33,100,10.0,3.0,0.7,0.04328668
166.0,1,100,10.0,3.0,0.7,0.01271857
166.0,3,100,10.0,3.0,0.7,0.0102609
500.0,0.33,100,10.0,3.0,0.7,0.05640032
500.0,1,100,10.0,3.0,0.7,0.01306291
500.0,3,100,10.0,3.0,0.7,0.01098366
1500.0,1,100,15.0,15.0,0.7,0.01406454
1500.0,3,100,15.0,15.0,0.7,0.00957697
1500.0,1,300,15.0,15.0,0.7,0.010526212121212122
1500.0,3,300,15.0,15.0,0.7,0.00872360606060606
1500.0,1,500,15.0,15.0,0.7,0.0143818
1500.0,3,500,15.0,15.0,0.7,0.00680835
500.0,1,100,15.0,15.0,0.7,0.012921
500.0,3,100,15.0,15.0,0.7,0.01062466
500.0,1,300,15.0,15.0,0.7,0.012802424242424242
500.0,3,300,15.0,15.0,0.7,0.010237636363636364
500.0,1,500,15.0,15.0,0.7,0.0144061
500.0,3,500,15.0,15.0,0.7,0.0128813
1500.0,0.33,100,1500.0,1.0,0.7,0.06222173
1500.0,1,100,1500.0,1.0,0.7,0.01337763
1500.0,3,100,1500.0,1.0,0.7,0.0166879
166.0,0.33,100,1500.0,1.0,0.7,0.04372505
166.0,1,100,1500.0,1.0,0.7,0.01317157
166.0,3,100,1500.0,1.0,0.7,0.01041683
500.0,0.33,100,1500.0,1.0,0.7,0.0556519
500.0,1,100,1500.0,1.0,0.7,0.01308055
500.0,3,100,1500.0,1.0,0.7,0.0093761
1500.0,0.33,100,1500.0,150.0,0.7,0.06166874
1500.0,1,100,1500.0,150.0,0.7,0.01410152
1500.0,3,100,1500.0,150.0,0.7,0.01252235
166.0,0.33,100,1500.0,150.0,0.7,0.04331108
166.0,1,100,1500.0,150.0,0.7,0.01348541
166.0,3,100,1500.0,150.0,0.7,0.01040194
500.0,0.33,100,1500.0,150.0,0.7,0.05660457
500.0,1,100,1500.0,150.0,0.7,0.01317173
500.0,3,100,1500.0,150.0,0.7,0.00781591
1500.0,0.33,100,1500.0,3.0,0.7,0.06100086
1500.0,1,100,1500.0,3.0,0.7,0.01122284
1500.0,3,100,1500.0,3.0,0.7,0.01010125
166.0,0.33,100,1500.0,3.0,0.7,0.04328778
166.0,1,100,1500.0,3.0,0.7,0.01313095
166.0,3,100,1500.0,3.0,0.7,0.01083727
500.0,0.33,100,1500.0,3.0,0.7,0.05676942
500.0,1,100,1500.0,3.0,0.7,0.01301377
500.0,3,100,1500.0,3.0,0.7,0.00856341
1500.0,0.33,100,30.0,1.0,0.7,0.05935784
1500.0,1,100,30.0,1.0,0.7,0.01170316
1500.0,3,100,30.0,1.0,0.7,0.00936912
166.0,0.33,100,30.0,1.0,0.7,0.04309341
166.0,1,100,30.0,1.0,0.7,0.01340324
166.0,3,100,30.0,1.0,0.7,0.0098494
500.0,0.33,100,30.0,1.0,0.7,0.0562082
500.0,1,100,30.0,1.0,0.7,0.01231935
500.0,3,100,30.0,1.0,0.7,0.0096729
1500.0,0.33,100,30.0,150.0,0.7,0.06155189
1500.0,1,100,30.0,150.0,0.7,0.01103473
1500.0,3,100,30.0,150.0,0.7,0.01287964
166.0,0.33,100,30.0,150.0,0.7,0.04300889
166.0,1,100,30.0,150.0,0.7,0.01298407
166.0,3,100,30.0,150.0,0.7,0.01001203
500.0,0.33,100,30.0,150.0,0.7,0.05688859
500.0,1,100,30.0,150.0,0.7,0.01224413
500.0,3,100,30.0,150.0,0.7,0.01100246
1500.0,0.33,100,30.0,3.0,0.7,0.06216857
1500.0,1,100,30.0,3.0,0.7,0.01348438
1500.0,3,100,30.0,3.0,0.7,0.01374562
166.0,0.33,100,30.0,3.0,0.7,0.04298793
166.0,1,100,30.0,3.0,0.7,0.01331381
166.0,3,100,30.0,3.0,0.7,0.01032745
500.0,0.33,100,30.0,3.0,0.7,0.05605992
500.0,1,100,30.0,3.0,0.7,0.01225105
500.0,3,100,30.0,3.0,0.7,0.01025509
1500.0,1,100,15.0,15.0,0.85,0.01268504
1500.0,3,100,15.0,15.0,0.85,0.00988305
1500.0,1,300,15.0,15.0,0.85,0.01659757575757576
1500.0,3,300,15.0,15.0,0.85,0.007732787878787879
1500.0,1,500,15.0,15.0,0.85,0.02006155
1500.0,3,500,15.0,15.0,0.85,0.0102365
500.0,1,100,15.0,15.0,0.85,0.01795571
500.0,3,100,15.0,15.0,0.85,0.00866193
500.0,1,300,15.0,15.0,0.85,0.01709621212121212
500.0,3,300,15.0,15.0,0.85,0.012796939393939393
500.0,1,500,15.0,15.0,0.85,0.0178445
500.0,3,500,15.0,15.0,0.85,0.0116018
1500.0,0.33,100,10.0,1.0,0.8,0.15048416
1500.0,1,100,10.0,1.0,0.8,0.01493946
1500.0,3,100,10.0,1.0,0.8,0.02376851
166.0,0.33,100,10.0,1.0,0.8,0.06663364
166.0,1,100,10.0,1.0,0.8,0.01544305
166.0,3,100,10.0,1.0,0.8,0.01164613
500.0,0.33,100,10.0,1.0,0.8,0.115092
500.0,1,100,10.0,1.0,0.8,0.01537205
