life,vel,clife,cof,sep,loopmean,loopstd
500.0,1,300.0,0.1,100,435.56278765555555,360.23659224345505
500.0,1,300.0,0.2,100,450.7016917111111,376.73612688554425
500.0,1,300.0,0.3,100,469.3859444777778,400.7251576175424
500.0,1,300.0,0.5,100,488.53233373333336,427.62172801026543
500.0,1,300.0,0.75,100,508.6328925444444,447.73168071495473
500.0,1,300.0,1.0,100,519.2606828,455.93071462479617
500.0,1,300.0,1.25,100,521.8991800111111,454.19437432514195
500.0,1,300.0,1.5,100,518.7374811111112,451.96048887184486
500.0,1,300.0,10.0,100,560.5486767666666,504.96255766470824
500.0,1,300.0,15.0,100,565.6960343,518.9742918766663
500.0,1,300.0,150.0,100,596.8230327222223,530.6280733359866
500.0,1,300.0,3.0,100,538.3864707333333,482.0160394557135
500.0,1,300.0,30.0,100,566.0819808222222,503.9243481952759
500.0,1,300.0,50.0,100,571.8383732666666,508.6936171719794
500.0,1,5.0,0.1,100,433.6999584111111,364.34687387090315
500.0,1,5.0,0.2,100,653.2073014666666,599.1746784400394
500.0,1,5.0,0.3,100,654.4148943666667,595.6883895587326
500.0,1,5.0,0.5,100,664.2968428333334,596.0816825748432
500.0,1,5.0,0.75,100,671.0114697111111,602.4501246465702
500.0,1,5.0,1.0,100,671.1743601444444,611.709983120756
500.0,1,5.0,1.25,100,673.2094792222222,616.1671024575229
500.0,1,5.0,1.5,100,670.1245518111111,597.2019097759622
500.0,1,5.0,10.0,100,679.7130125,612.5041242996807
500.0,1,5.0,100000.0,100,677.5169119555555,608.283596912244
500.0,1,5.0,15.0,100,676.8856966222222,611.6119604624263
500.0,1,5.0,150.0,100,691.9755829666667,632.5117321630905
500.0,1,5.0,1500.0,100,664.9164206888889,596.4018635820141
500.0,1,5.0,15000.0,100,677.6000295777778,610.5126397867743
500.0,1,5.0,150000.0,100,679.8537455,606.4215103550497
500.0,1,5.0,3.0,100,681.5383555333333,628.7601604642512
500.0,1,5.0,30.0,100,681.3596176111112,612.9640328002649
500.0,1,5.0,5.0,100,681.4238354111111,616.1680715504843
500.0,1,5.0,50.0,100,667.5502941222222,605.9117911842645
500.0,1,5.0,500.0,100,677.4129901111111,606.8737197030841
500.0,1,5.0,5000.0,100,680.9868607111111,613.8307572339119
500.0,1,5.0,50000.0,100,687.6530777333334,629.8055661638633
500.0,1,5.0,500000.0,100,678.115567211111,620.1550397896267
500.0,1,50.0,1.0,100,628.4922041,571.9616764960757
500.0,1,50.0,1.5,100,641.8262742111111,585.3021406932068
500.0,1,50.0,100000.0,100,684.1694175222223,615.1890320564546
500.0,1,50.0,15.0,100,648.1733639888889,578.8504073981892
