lifetime, velocity, clife, cof, face, fripscore
166.0,1,30.0,150.0,0.7,0.21390983
166.0,3,30.0,150.0,0.7,0.39639335
500.0,0.33,30.0,150.0,0.7,0.22435944
500.0,1,30.0,150.0,0.7,0.43455537
500.0,3,30.0,150.0,0.7,0.63449049
1500.0,0.33,30.0,3.0,0.7,0.44481937
1500.0,1,30.0,3.0,0.7,0.68019961
1500.0,3,30.0,3.0,0.7,0.75780778
166.0,0.33,30.0,3.0,0.7,0.09179978
166.0,1,30.0,3.0,0.7,0.21082405
166.0,3,30.0,3.0,0.7,0.39468481
500.0,0.33,30.0,3.0,0.7,0.2260288
500.0,1,30.0,3.0,0.7,0.43975481
500.0,3,30.0,3.0,0.7,0.63262945
1500.0,0.33,10.0,1.0,0.8,0.43621127
1500.0,1,10.0,1.0,0.8,0.6525368
1500.0,3,10.0,1.0,0.8,0.77983324
166.0,0.33,10.0,1.0,0.8,0.08922331
166.0,1,10.0,1.0,0.8,0.21892567
166.0,3,10.0,1.0,0.8,0.41466442
500.0,0.33,10.0,1.0,0.8,0.22344074
500.0,1,10.0,1.0,0.8,0.43960226
500.0,3,10.0,1.0,0.8,0.6430812
1500.0,0.33,10.0,150.0,0.8,0.45113416
1500.0,1,10.0,150.0,0.8,0.67017475
1500.0,3,10.0,150.0,0.8,0.79592038
166.0,0.33,10.0,150.0,0.8,0.09061881
166.0,1,10.0,150.0,0.8,0.21868806
166.0,3,10.0,150.0,0.8,0.40315093
500.0,0.33,10.0,150.0,0.8,0.22244935
500.0,1,10.0,150.0,0.8,0.43483186
500.0,3,10.0,150.0,0.8,0.63241949
1500.0,0.33,10.0,3.0,0.8,0.44675036
1500.0,1,10.0,3.0,0.8,0.66807785
1500.0,3,10.0,3.0,0.8,0.78049776
166.0,0.33,10.0,3.0,0.8,0.08889994
166.0,1,10.0,3.0,0.8,0.21667721
166.0,3,10.0,3.0,0.8,0.41351845
500.0,0.33,10.0,3.0,0.8,0.2216446
500.0,1,10.0,3.0,0.8,0.44367519
500.0,3,10.0,3.0,0.8,0.64502859
1500.0,0.33,1500.0,1.0,0.8,0.44839246
1500.0,1,1500.0,1.0,0.8,0.65555591
1500.0,3,1500.0,1.0,0.8,0.78167106
166.0,0.33,1500.0,1.0,0.8,0.08963843
166.0,1,1500.0,1.0,0.8,0.22159095
166.0,3,1500.0,1.0,0.8,0.40420482
500.0,0.33,1500.0,1.0,0.8,0.22715457
500.0,1,1500.0,1.0,0.8,0.44279705
500.0,3,1500.0,1.0,0.8,0.64681082
1500.0,0.33,1500.0,150.0,0.8,0.44160804
1500.0,1,1500.0,150.0,0.8,0.65418114
1500.0,3,1500.0,150.0,0.8,0.77065555
166.0,0.33,1500.0,150.0,0.8,0.09155854
166.0,1,1500.0,150.0,0.8,0.2218294
166.0,3,1500.0,150.0,0.8,0.41058102
500.0,0.33,1500.0,150.0,0.8,0.22301434
500.0,1,1500.0,150.0,0.8,0.43972545
500.0,3,1500.0,150.0,0.8,0.6500769
1500.0,0.33,1500.0,3.0,0.8,0.44113606
1500.0,1,1500.0,3.0,0.8,0.67652153
1500.0,3,1500.0,3.0,0.8,0.78616113
166.0,0.33,1500.0,3.0,0.8,0.08996974
166.0,1,1500.0,3.0,0.8,0.21922709
166.0,3,1500.0,3.0,0.8,0.40492783
500.0,0.33,1500.0,3.0,0.8,0.22150044
500.0,1,1500.0,3.0,0.8,0.44294467
500.0,3,1500.0,3.0,0.8,0.62676238
1500.0,0.33,30.0,1.0,0.8,0.45279358
1500.0,1,30.0,1.0,0.8,0.65391674
1500.0,3,30.0,1.0,0.8,0.78715821
166.0,0.33,30.0,1.0,0.8,0.08997989
166.0,1,30.0,1.0,0.8,0.21981565
166.0,3,30.0,1.0,0.8,0.41355161
500.0,0.33,30.0,1.0,0.8,0.22543652
