lifetime, velocity, separation, clife, cof, fripscore
500.0,1,300,100000.0,1500.0,0.4693483939393939
500.0,1,500,100000.0,1500.0,0.4748838
500.0,1,700,100000.0,1500.0,0.46836992857142856
1500.0,1,100,100000.0,15000.0,0.62251742
1500.0,3,100,100000.0,15000.0,0.7888862
500.0,1,1000,100000.0,15000.0,0.4355753
500.0,1,100,100000.0,15000.0,0.41402523
500.0,3,100,100000.0,15000.0,0.61356257
500.0,1,300,100000.0,15000.0,0.4296407272727273
500.0,1,500,100000.0,15000.0,0.44203415
500.0,1,700,100000.0,15000.0,0.43746471428571426
1500.0,1,100,100000.0,150000.0,0.40458264
1500.0,3,100,100000.0,150000.0,0.56835611
500.0,1,1000,100000.0,150000.0,0.2242933
500.0,1,100,100000.0,150000.0,0.23504927
500.0,3,100,100000.0,150000.0,0.39498033
500.0,1,300,100000.0,150000.0,0.2542481818181818
500.0,1,500,100000.0,150000.0,0.2273603
500.0,1,700,100000.0,150000.0,0.22487807142857144
1500.0,1,100,100000.0,3.0,0.66882019
1500.0,3,100,100000.0,3.0,0.80178662
500.0,1,1000,100000.0,3.0,0.4817756
500.0,1,100,100000.0,3.0,0.4415968
500.0,3,100,100000.0,3.0,0.6703236
500.0,1,300,100000.0,3.0,0.46508948484848484
500.0,1,500,100000.0,3.0,0.46057295
500.0,1,700,100000.0,3.0,0.4663802857142857
1500.0,1,100,100000.0,5.0,0.66688348
1500.0,3,100,100000.0,5.0,0.80287126
500.0,1,1000,100000.0,5.0,0.4690266
500.0,1,100,100000.0,5.0,0.44267012
500.0,3,100,100000.0,5.0,0.66780719
500.0,1,300,100000.0,5.0,0.4611562424242424
500.0,1,500,100000.0,5.0,0.468491
500.0,1,700,100000.0,5.0,0.4912325
1500.0,1,100,100000.0,50.0,0.67241146
1500.0,3,100,100000.0,50.0,0.77119463
500.0,1,1000,100000.0,50.0,0.4862277
500.0,1,100,100000.0,50.0,0.44602418
500.0,3,100,100000.0,50.0,0.68292208
500.0,1,300,100000.0,50.0,0.4781129090909091
500.0,1,500,100000.0,50.0,0.47636635
500.0,1,700,100000.0,50.0,0.4913582142857143
1500.0,1,100,100000.0,500.0,0.66105097
1500.0,3,100,100000.0,500.0,0.80996833
500.0,1,1000,100000.0,500.0,0.4951617
500.0,1,100,100000.0,500.0,0.43947962
500.0,3,100,100000.0,500.0,0.68596631
500.0,1,300,100000.0,500.0,0.47335069696969695
500.0,1,500,100000.0,500.0,0.47951495
500.0,1,700,100000.0,500.0,0.47217221428571426
1500.0,1,100,100000.0,5000.0,0.63721951
1500.0,3,100,100000.0,5000.0,0.75995402
500.0,1,1000,100000.0,5000.0,0.4487688
500.0,1,100,100000.0,5000.0,0.44234223
500.0,3,100,100000.0,5000.0,0.65537873
500.0,1,300,100000.0,5000.0,0.4701536363636364
500.0,1,500,100000.0,5000.0,0.464794
500.0,1,700,100000.0,5000.0,0.4691282142857143
1500.0,1,100,100000.0,50000.0,0.56960548
1500.0,3,100,100000.0,50000.0,0.72395222
500.0,1,1000,100000.0,50000.0,0.3528873
500.0,1,100,100000.0,50000.0,0.33543187
500.0,3,100,100000.0,50000.0,0.55521633
500.0,1,300,100000.0,50000.0,0.3478207272727273
500.0,1,500,100000.0,50000.0,0.3735832
500.0,1,700,100000.0,50000.0,0.36243835714285716
1500.0,1,100,100000.0,500000.0,0.19630718
1500.0,3,100,100000.0,500000.0,0.31698065
500.0,1,1000,100000.0,500000.0,0.1305389
500.0,1,100,100000.0,500000.0,0.10155121
500.0,3,100,100000.0,500000.0,0.19648462
500.0,1,300,100000.0,500000.0,0.11798145454545454
500.0,1,500,100000.0,500000.0,0.10317565
500.0,1,700,100000.0,500000.0,0.12387671428571428
1500.0,1,100,15.0,1.0,0.05055937
